,name,rating,address,price_level,place,type,subtype,CP,latitude,longitude,geometry,price
164,Teatro San Pol,4.4,"Calle de San Pol de Mar, 1, 28008 Madrid, Spain",,theatre,plan,culture,28008,40.4239998,-3.7270849,"{'type': 'Point', 'coordinates': [40.4239998, -3.7270849]}",More than 50€
165,Réplika Teatro,4.7,"Calle Explanada, 14, 28040 Madrid, Spain",,theatre,plan,culture,28040,40.4482151,-3.7117966,"{'type': 'Point', 'coordinates': [40.4482151, -3.7117966]}",More than 50€
166,Teatro Novedades,0.0,"Calle de Toledo, 83, 28005 Madrid, Spain",,theatre,plan,culture,28005,40.410134,-3.709187,"{'type': 'Point', 'coordinates': [40.410134, -3.709187]}",More than 50€
167,https://madridesteatro.com,0.0,"Calle de Ibiza, 18, 5º d, 28009 Madrid, Spain",,theatre,plan,culture,28009,40.4181321,-3.676601099999999,"{'type': 'Point', 'coordinates': [40.4181321, -3.676601099999999]}",More than 50€
168,SOJO Laboratorio Teatral,4.6,"Calle de San Isidoro de Sevilla, 2, 28005 Madrid, Spain",,theatre,plan,culture,28005,40.4044994,-3.7121572,"{'type': 'Point', 'coordinates': [40.4044994, -3.7121572]}",More than 50€
169,Teatro Muñoz Seca,4.2,"Plaza del Carmen, 1, 28013 Madrid, Spain",,theatre,plan,culture,28013,40.418373,-3.703189,"{'type': 'Point', 'coordinates': [40.418373, -3.703189]}",More than 50€
170,Sala AZarte,4.3,"Calle de San Marcos, 19, 28004 Madrid, Spain",,theatre,plan,culture,28004,40.42141669999999,-3.6983519,"{'type': 'Point', 'coordinates': [40.42141669999999, -3.6983519]}",More than 50€
171,Escuela de Teatro PLOT POINT - obras de teatro y alquiler salas,4.7,"Calle de Ercilla, 29, 28005 Madrid, Spain",,theatre,plan,culture,28005,40.401971,-3.702038,"{'type': 'Point', 'coordinates': [40.401971, -3.702038]}",More than 50€
172,Federación de Grupos de Teatro Aficionado Amateur de la C.A.M.,0.0,"Plaza de España, 6, 28008 Madrid, Spain",,theatre,plan,culture,28008,40.4224938,-3.7120689,"{'type': 'Point', 'coordinates': [40.4224938, -3.7120689]}",More than 50€
173,Sala Mirador,4.5,"Calle del Dr. Fourquet, 31, 28012 Madrid, Spain",,theatre,plan,culture,28012,40.40704240000001,-3.6988561,"{'type': 'Point', 'coordinates': [40.40704240000001, -3.6988561]}",More than 50€
174,Teatro Karpas,4.4,"Calle de Santa Isabel, 19, 28012 Madrid, Spain",,theatre,plan,culture,28012,40.410462,-3.697682,"{'type': 'Point', 'coordinates': [40.410462, -3.697682]}",More than 50€
175,Microteatro Por Dinero,4.6,"Calle de Loreto y Chicote, 9, 28004 Madrid, Spain",,theatre,plan,culture,28004,40.4215369,-3.7040616,"{'type': 'Point', 'coordinates': [40.4215369, -3.7040616]}",More than 50€
176,Sala Tarambana,4.5,"Calle Dolores Armengot, 31, 28025 Madrid, Spain",,theatre,plan,culture,28025,40.3858213,-3.7432511,"{'type': 'Point', 'coordinates': [40.3858213, -3.7432511]}",More than 50€
177,Las Aguas Theater,4.2,"Calle de las Aguas, 8, 28005 Madrid, Spain",,theatre,plan,culture,28005,40.410867,-3.7122535,"{'type': 'Point', 'coordinates': [40.410867, -3.7122535]}",More than 50€
178,"The Laundry, School of Theatre and Performing Arts",4.7,"C/ de Magallanes, 23, 28015 Madrid, Spain",,theatre,plan,culture,28015,40.4353319,-3.7057573,"{'type': 'Point', 'coordinates': [40.4353319, -3.7057573]}",More than 50€
179,Teatro Corral Cervantes,4.1,"Parque Madrid Río, Crystal Palace of Arganzuela, frente al, Paseo de la Chopera, s/n, Madrid, Spain",,theatre,plan,culture,,40.3940136,-3.699816999999999,"{'type': 'Point', 'coordinates': [40.3940136, -3.699816999999999]}",More than 50€
180,Jazz Bar,4.5,"C. de Moratín, 35, 28014 Madrid, Spain",2.0,jazz,plan,culture,28014,40.4125735,-3.6958959,"{'type': 'Point', 'coordinates': [40.4125735, -3.6958959]}",15-25€
181,El Junco Jazz,4.3,"Plaza de Sta. Bárbara, 10, 28004 Madrid, Spain",2.0,jazz,plan,culture,28004,40.4263524,-3.6963631,"{'type': 'Point', 'coordinates': [40.4263524, -3.6963631]}",15-25€
182,Café Central,4.2,"Plaza del Ángel, 10, 28012 Madrid, Spain",2.0,jazz,plan,culture,28012,40.4141868,-3.701869599999999,"{'type': 'Point', 'coordinates': [40.4141868, -3.701869599999999]}",15-25€
183,The Jungle Jazz Club,4.2,"Calle de Jorge Juan, 20, 28001 Madrid, Spain",4.0,jazz,plan,culture,28001,40.4237394,-3.6851584,"{'type': 'Point', 'coordinates': [40.4237394, -3.6851584]}",More than 50€
184,Clamores,4.2,"Calle de Alburquerque, 14, 28010 Madrid, Spain",2.0,jazz,plan,culture,28010,40.431118,-3.7009577,"{'type': 'Point', 'coordinates': [40.431118, -3.7009577]}",15-25€
185,Moe,4.1,"Av. de Alberto de Alcocer, 32, 28036 Madrid, Spain",2.0,jazz,plan,culture,28036,40.4583984,-3.6828651,"{'type': 'Point', 'coordinates': [40.4583984, -3.6828651]}",15-25€
186,Recoletos Jazz,0.0,"Calle de Recoletos, 18, 28001 Madrid, Spain",2.0,jazz,plan,culture,28001,40.4214878,-3.6894872,"{'type': 'Point', 'coordinates': [40.4214878, -3.6894872]}",15-25€
187,Intruso Bar,4.2,"Calle de Augusto Figueroa, 3, 28004 Madrid, Spain",2.0,jazz,plan,culture,28004,40.4231123,-3.7002265,"{'type': 'Point', 'coordinates': [40.4231123, -3.7002265]}",15-25€
