,provincia,poblacion,CP,lat,lon
271,Madrid,San Sebastian de los Reyes,28701,-3.626.718.790,40.547.054.700
272,Madrid,San Sebastian de los Reyes,28702,-3.626.718.790,40.547.054.700
273,Madrid,San Sebastian de los Reyes,28703,-3.626.718.790,40.547.054.700
274,Madrid,San Sebastian de los Reyes,28706,-3.626.718.790,40.547.054.700
275,Madrid,San Sebastian de los Reyes,28707,-3.626.718.790,40.547.054.700
276,Madrid,San Sebastian de los Reyes,28708,-3.626.718.790,40.547.054.700
277,Madrid,San Sebastian de los Reyes,28709,-3.626.718.790,40.547.054.700
278,Madrid,Santa Maria de la Alameda,28296,-4.258.131.560,40.596.139.400
279,Madrid,Santa Maria de la Alameda,28297,-4.258.131.560,40.596.139.400
280,Madrid,Santorcaz,28818,-3.234.959.210,40.472.302.810
281,Madrid,Los Santos de la Humosa,28817,-3.259.643.920,40.501.457.950
282,Madrid,La Serna del Monte,28737,-3.626.027.010,41.032.823.720
283,Madrid,Serranillos del Valle,28979,-3.884.287.910,40.205.189.630
284,Madrid,Sevilla la Nueva,28609,-4.027.283.740,40.346.615.420
285,Madrid,Somosierra,28756,-3.580.844.040,41.132.879.150
286,Madrid,Soto del Real,28791,-3.788.260.260,40.752.941.940
287,Madrid,Talamanca de Jarama,28160,-3.514.870.040,40.746.185.910
288,Madrid,Tielmes,28550,-3.313.050.200,40.246.483.170
289,Madrid,Titulcia,28359,-3.570.678.250,40.135.516.250
290,Madrid,Torrejon de Ardoz,28850,-3.478.990.190,40.459.156.100
291,Madrid,Torrejon de Ardoz,28991,-3.795.042.400,40.199.872.330
292,Madrid,Torrejon de Ardoz,28990,-3.778.873.360,40.187.360.050
293,Madrid,Torrelaguna,28180,-3.538.200.550,40.828.003.100
294,Madrid,Torrelodones,28250,-3.931.355.760,40.576.497.850
295,Madrid,Torremocha de Jarama,28189,-3.495.823.550,40.835.606.540
296,Madrid,Torres de la Alameda,28813,-3.363.015.300,40.406.594.120
297,Madrid,Valdaracete,28594,-3.192.022.890,40.210.104.160
298,Madrid,Valdeavero,28816,-3.331.613.990,40.631.292.260
299,Madrid,Valdelaguna,28391,-3.366.774.340,40.162.125.150
